"","Año","Mes","Sede","Producto","Peso.Kg.","Tipo.de.Envase","Pais.Origen"
"16440","2021",7,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","PIMIENTO, semilla",0.576,"SACHETS","HOLANDA"
"16441","2021",7,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","TOMATE, semilla",0.0515,"SACHETS","HOLANDA"
"16442","2021",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","GARBANZO, grano",23000,"SACO(S)","ARGENTINA"
"16443","2021",7,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°)",174000,"SACO(S)","BOLIVIA"
"16444","2021",7,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",116000,"SACO(S)","BOLIVIA"
"16445","2021",7,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","PALMA ACEITERA, semilla germinada",95,"CAJA(S)","COSTA RICA"
"16446","2021",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","AVENA, grano mondado, perlado, troceado o quebrantado",24000,"SACO(S)","CHILE"
"16447","2021",7,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",84920,"GRANEL","BOLIVIA"
"16448","2021",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","TRIGO, grano",8400000,"GRANEL","CANADA"
"16449","2021",7,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",53250,"GRANEL","BOLIVIA"
"16450","2021",7,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",81530,"GRANEL","BOLIVIA"
"16451","2021",7,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",56030,"GRANEL","BOLIVIA"
"16452","2021",7,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",54631,"SACO(S)","BOLIVIA"
"16453","2021",7,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","COMINO, grano",1.5,"BOLSAS","INDIA"
"16454","2021",7,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","PIMIENTA, grano seco al natural",0.3,"BOLSAS","VIETNAM"
"16455","2021",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","CAUCHO, técnicamente especificado (TSNR)",21000,"PACAS","COLOMBIA"
"16456","2021",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","CAUCHO, técnicamente especificado (TSNR)",60480,"PIEZAS","INDONESIA"
"16457","2021",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","CAUCHO, técnicamente especificado (TSNR)",20160,"PIEZAS","INDONESIA"
"16458","2021",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","CAUCHO, técnicamente especificado (TSNR)",60480,"PIEZAS","INDONESIA"
"16459","2021",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","CAUCHO, técnicamente especificado (TSNR)",40320,"PIEZAS","INDONESIA"
"16460","2021",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","CAUCHO, técnicamente especificado (TSNR)",60480,"PIEZAS","INDONESIA"
