"","Año","Mes","Sede","Producto","Peso.Kg.","Tipo.de.Envase","Pais.Origen"
"19989","2021",9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","LENTEJA, grano",235870,"SACO(S)","EEUU"
"19990","2021",9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","CAUCHO, técnicamente especificado (TSNR)",20160,"PALETAS","COLOMBIA"
"19991","2021",9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","KIWI, fruto fresco",7200,"CAJA(S)","CHILE"
"19992","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","MAIZ AMARILLO DURO, grano",28000,"SACO(S)","BOLIVIA"
"19993","2021",9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MANZANA, fruto fresco",139944,"CAJA(S)","CHILE"
"19994","2021",9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","AVENA, grano mondado, perlado, troceado o quebrantado",96000,"SACO(S)","CHILE"
"19995","2021",9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","BRACHIARIA, semilla",12000,"BOLSAS","BRASIL"
"19996","2021",9,"SANTA ROSA, TACNA","CHUCHUHUASI, corteza seca natural",880,"SACO(S)","CHILE"
"19997","2021",9,"SANTA ROSA, TACNA","UÑA DE GATO, corteza trozada",2760,"SACO(S)","CHILE"
"19998","2021",9,"SANTA ROSA, TACNA","CHANCAPIEDRA, entero o trozado seco al natural",1000,"SACO(S)","CHILE"
"19999","2021",9,"SANTA ROSA, TACNA","ACHIOTE, hoja seca al natural",1014,"SACO(S)","CHILE"
"20000","2021",9,"SANTA ROSA, TACNA","PALO SANTO, trozos secos",1200,"SACO(S)","CHILE"
"20001","2021",9,"PUESTO DE CONTROL- CEBAF","CAÑA DE GUAYAQUIL, seca al natural",34000,"UNIDADES","ECUADOR"
"20002","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",85500,"GRANEL","BOLIVIA"
"20003","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","GIRASOL, torta",54580,"GRANEL","BOLIVIA"
"20004","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",82000,"GRANEL","BOLIVIA"
"20005","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",58000,"GRANEL","BOLIVIA"
"20006","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",140500,"GRANEL","BOLIVIA"
"20007","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",111000,"GRANEL","BOLIVIA"
"20008","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",75000,"GRANEL","BOLIVIA"
"20009","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",56000,"GRANEL","BOLIVIA"
"20010","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","GIRASOL, torta",54530,"GRANEL","BOLIVIA"
"20011","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",84000,"GRANEL","BOLIVIA"
"20012","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",56500,"GRANEL","BOLIVIA"
"20013","2021",9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ARROZ, grano pilado",499270,"SACO(S)","URUGUAY"
"20014","2021",9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PINO, madera aserrada con algún proceso de la CRF2",36000,"PAQUETES","CHILE"
"20015","2021",9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PINO, madera aserrada con algún proceso de la CRF2",407736,"PAQUETES","CHILE"
"20016","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",27000,"GRANEL","BOLIVIA"
"20017","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",57000,"GRANEL","BOLIVIA"
"20018","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",58080,"GRANEL","BOLIVIA"
"20019","2021",9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PINO, madera aserrada con algún proceso de la CRF2",48051,"PALETAS","CHILE"
"20020","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, grano",27000,"GRANEL","BOLIVIA"
"20021","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, grano",53980,"GRANEL","BOLIVIA"
"20022","2021",9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","LENTEJA, grano",92060,"SACO(S)","EEUU"
"20023","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°)",30000,"SACO(S)","BOLIVIA"
"20024","2021",9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","GARBANZO, grano",70217,"SACO(S)","EEUU"
"20025","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, grano",55500,"GRANEL","BOLIVIA"
"20026","2021",9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","Cultivadores, azadas rotativas( rotocultores), escardadoras y binadoras usadas
",151.681,"UNIDADES","BELICE"
"20027","2021",9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","LOS DEMAS TRACTORES USADOS, con motor de potencia inferior o igual a 18 kW (excepto las carretillas tractor de la partida 87.09)",9100.866,"UNIDADES","BELICE"
"20028","2021",9,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","CINERARIA, semilla",0.022,"SOBRES ALUMINIZADOS","EEUU"
"20029","2021",9,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","CLAVEL, semilla",0.133,"SOBRES ALUMINIZADOS","EEUU"
"20030","2021",9,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","Impatiens, semilla",0.018,"SOBRES ALUMINIZADOS","EEUU"
"20031","2021",9,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","LIMONIUM (=STATICE), semilla",0.24,"SOBRES ALUMINIZADOS","EEUU"
"20032","2021",9,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","MARIGOLD, semilla",1.14,"SOBRES ALUMINIZADOS","EEUU"
